Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:44:22:776.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:44:22:846.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 70 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym  18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|biedny________________________________________|3______________________________________|
|biednym_______________________________________|1______________________________________|
|biedn~~_______________________________________|1______________________________________|
|biedy_________________________________________|2______________________________________|
|biega_________________________________________|5______________________________________|
|biegaj~~c_____________________________________|2______________________________________|
|biegali_______________________________________|1______________________________________|
|biega~~_______________________________________|4______________________________________|
|biega~~a______________________________________|1______________________________________|
|biega~~o______________________________________|1______________________________________|
|biega~~y______________________________________|2______________________________________|
|biegiem_______________________________________|1______________________________________|
|biegle________________________________________|1______________________________________|
|biegli________________________________________|4______________________________________|
|biegnie_______________________________________|1______________________________________|
|biegn~~_______________________________________|3______________________________________|
|biegu_________________________________________|6______________________________________|
|biegunow~~____________________________________|1______________________________________|
|bieg~~________________________________________|20_____________________________________|
|bieg~~a_______________________________________|5______________________________________|
|bieg~~c_______________________________________|1______________________________________|
|bieg~~em______________________________________|4______________________________________|
|bieg~~o_______________________________________|2______________________________________|
|bieg~~o~~ci___________________________________|1______________________________________|
|bieg~~o~~ci~~_________________________________|1______________________________________|
|bieg~~y_______________________________________|2______________________________________|
|bielaki_______________________________________|1______________________________________|
|bielicy_______________________________________|1______________________________________|
|bielid~~a_____________________________________|1______________________________________|
|bielizn~~_____________________________________|2______________________________________|
|bieli~~nie____________________________________|2______________________________________|
|bielonego_____________________________________|1______________________________________|
|bielsze_______________________________________|1______________________________________|
|bielszego_____________________________________|1______________________________________|
|bieluchna_____________________________________|1______________________________________|
|bieluchnej____________________________________|1______________________________________|
|biel~~________________________________________|1______________________________________|
|bierali_______________________________________|1______________________________________|
|bierali~~~~~__________________________________|1______________________________________|
|biergele______________________________________|1______________________________________|
|biergiele_____________________________________|1______________________________________|
|bierzcie______________________________________|1______________________________________|
|bierze________________________________________|12_____________________________________|
|bierzesz______________________________________|1______________________________________|
|bies__________________________________________|1______________________________________|
|biesem________________________________________|1______________________________________|
|biesiad_______________________________________|1______________________________________|
|biesiadach____________________________________|2______________________________________|
|biesiadnikiem_________________________________|1______________________________________|
|biesiadnik~~w_________________________________|1______________________________________|
|biesiady______________________________________|5______________________________________|
|biesiad~~_____________________________________|6______________________________________|
|bies~~w_______________________________________|1______________________________________|
|bie~~y________________________________________|19_____________________________________|
|bigos_________________________________________|5______________________________________|
|bigosu________________________________________|1______________________________________|
|bij___________________________________________|3______________________________________|
|bijatyk~~_____________________________________|1______________________________________|
|bijcie________________________________________|1______________________________________|
|bije__________________________________________|4______________________________________|
|bijem_________________________________________|1______________________________________|
|bijesz________________________________________|1______________________________________|
|bij~~_________________________________________|4______________________________________|
|bij~~c________________________________________|4______________________________________|
|bij~~ca_______________________________________|2______________________________________|
|bij~~cych_____________________________________|1______________________________________|
|bilardowa_____________________________________|1______________________________________|
|bilecik_______________________________________|2______________________________________|
|biletem_______________________________________|1______________________________________|
|bili__________________________________________|2______________________________________|
|biniona_______________________________________|1______________________________________|
|bior~~________________________________________|7______________________________________|
|bior~~c_______________________________________|4______________________________________|
|bior~~ce______________________________________|1______________________________________|
|bior~~~~______________________________________|1______________________________________|
|birbanterokka_________________________________|2______________________________________|
