Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|asekurowany___________________________________|1______________________________________|
|asfalt________________________________________|1______________________________________|
|asfaltem______________________________________|1______________________________________|
|asfaltowej____________________________________|1______________________________________|
|asfaltowym____________________________________|1______________________________________|
|asfaltu_______________________________________|2______________________________________|
|asikiem_______________________________________|1______________________________________|
|aspiracje_____________________________________|1______________________________________|
|astr~~w_______________________________________|1______________________________________|
|asymilacja____________________________________|1______________________________________|
|asyst~~_______________________________________|1______________________________________|
|atak__________________________________________|1______________________________________|
|atakiem_______________________________________|1______________________________________|
|ataku_________________________________________|6______________________________________|
|atamana_______________________________________|1______________________________________|
|ateusza_______________________________________|1______________________________________|
|atlety________________________________________|1______________________________________|
|atmosfera_____________________________________|4______________________________________|
|atmosfery_____________________________________|1______________________________________|
|atmosferze____________________________________|4______________________________________|
|atmosfer~~____________________________________|1______________________________________|
|atramentem____________________________________|1______________________________________|
|atramentu_____________________________________|1______________________________________|
|atu___________________________________________|1______________________________________|
|atucika_______________________________________|2______________________________________|
|atucikami_____________________________________|1______________________________________|
|at~~asow~~____________________________________|2______________________________________|
|au____________________________________________|2______________________________________|
|august________________________________________|13_____________________________________|
|augusta_______________________________________|7______________________________________|
|augusty_______________________________________|6______________________________________|
|august~~______________________________________|1______________________________________|
|augu~~cie_____________________________________|1______________________________________|
|aureoli_______________________________________|1______________________________________|
|aureol~~______________________________________|2______________________________________|
|aurory________________________________________|2______________________________________|
|ausgespilt____________________________________|1______________________________________|
|australii_____________________________________|1______________________________________|
|autentyczny___________________________________|1______________________________________|
|automat_______________________________________|1______________________________________|
|automatu______________________________________|2______________________________________|
|automatycznie_________________________________|11_____________________________________|
|automatycznych________________________________|2______________________________________|
|automatycznym_________________________________|3______________________________________|
|automat~~w____________________________________|1______________________________________|
|autora________________________________________|2______________________________________|
|autorskiemu___________________________________|1______________________________________|
|autorskim_____________________________________|1______________________________________|
|autorstwa_____________________________________|1______________________________________|
|awantura______________________________________|1______________________________________|
|awanturach____________________________________|1______________________________________|
|awanturnik____________________________________|1______________________________________|
|awantury______________________________________|2______________________________________|
|awantur~~_____________________________________|2______________________________________|
|azalii________________________________________|3______________________________________|
|azali~~_______________________________________|1______________________________________|
|a~~___________________________________________|116____________________________________|
|a~~e__________________________________________|1______________________________________|
|a~~eby________________________________________|5______________________________________|
|a~~eby~~______________________________________|3______________________________________|
|a~~em_________________________________________|1______________________________________|
|a~~pasow______________________________________|1______________________________________|
|a~~pas~~w_____________________________________|1______________________________________|
|a~~~__________________________________________|2______________________________________|
|b_____________________________________________|2______________________________________|
|ba____________________________________________|12_____________________________________|
|baba__________________________________________|1______________________________________|
|babie_________________________________________|3______________________________________|
|babka_________________________________________|2______________________________________|
|babki_________________________________________|2______________________________________|
|babk~~________________________________________|2______________________________________|
|babskich______________________________________|1______________________________________|
|babule~~ka____________________________________|3______________________________________|
|bab~~_________________________________________|2______________________________________|
|baccilusa_____________________________________|1______________________________________|
|bachanckiej___________________________________|1______________________________________|
|baczkami______________________________________|1______________________________________|
|bacznie_______________________________________|1______________________________________|
|baczniejsz~~__________________________________|1______________________________________|
|bacz~~c_______________________________________|3______________________________________|
|badaj~~c______________________________________|1______________________________________|
|badawcze______________________________________|1______________________________________|
|badawczo______________________________________|2______________________________________|
|badawczy______________________________________|2______________________________________|
|badawczym_____________________________________|2______________________________________|
|bada~~________________________________________|1______________________________________|
|bada~~em______________________________________|1______________________________________|
|bada~~y_______________________________________|1______________________________________|
|bagatelka_____________________________________|2______________________________________|
|baga~~e_______________________________________|1______________________________________|
|bagienka______________________________________|1______________________________________|
|bagna_________________________________________|1______________________________________|
|bagnetami~~~__________________________________|1______________________________________|
|bagnisk_______________________________________|2______________________________________|
|bajeczna______________________________________|1______________________________________|
|bajeczne______________________________________|1______________________________________|
|bajeczn~~_____________________________________|1______________________________________|
|bajka_________________________________________|1______________________________________|
|bajki_________________________________________|1______________________________________|
|bakcyla_______________________________________|1______________________________________|
|bal___________________________________________|1______________________________________|
|balach________________________________________|1______________________________________|
|balast________________________________________|1______________________________________|
|baldachim_____________________________________|3______________________________________|
|baldachimem___________________________________|2______________________________________|
|baldachimu____________________________________|1______________________________________|
